username,tweet_id,created_at,text
realDonaldTrump,1894126415932526802,2025-02-24 20:45:03+00:00,https://t.co/9pZeARuStB
realDonaldTrump,1894113204319424674,2025-02-24 19:52:33+00:00,https://t.co/BlCIdTrJDd
realDonaldTrump,1892397388595093561,2025-02-20 02:14:31+00:00,https://t.co/nmaExq4VMw
realDonaldTrump,1892344088172646484,2025-02-19 22:42:43+00:00,https://t.co/BlidhHnH2i
realDonaldTrump,1892242622623699357,2025-02-19 15:59:32+00:00,https://t.co/PMcrOwXejI
mehdirhasan,1894271717188542816,2025-02-25 06:22:25+00:00,"DOGE Cuts 9/11 Survivors’ Fund, and Republicans Join Democrats in Rebuke - The New York Times https://t.co/LtD81TPnZK"
mehdirhasan,1894269611924730095,2025-02-25 06:14:03+00:00,"RT @ChrisMurphyCT: This is insane. If you wonder why some of us think the rule of law is about to fall, it's this.

The U.S. Attorney for D…"
mehdirhasan,1894265130076033522,2025-02-25 05:56:15+00:00,RT @pblest: Ed Martin is skyrocketing up the leaderboard of most evil hacks in the Trump administration
mehdirhasan,1894257941915566231,2025-02-25 05:27:41+00:00,"RT @PeterBeinart: Years from now, Joy Reid will be able to hold her head high because of what she said about Gaza. Not all journalists will."
mehdirhasan,1894254332930863537,2025-02-25 05:13:21+00:00,RT @SenTinaSmith: That’s Tammy Baldwin — not me. You can keep track of all the hundreds of white men but it’s the 28 women in the Senate th…
elonmusk,1894331922589126849,2025-02-25 10:21:39+00:00,"On one hand, @DOGE computer nerds review government data to eliminate waste &amp; fraud. 

On the other hand, demented creeps at intelligence agencies spy on you at will.

Which is of greater concern? https://t.co/C6vZeUTGSg"
elonmusk,1894328366360400045,2025-02-25 10:07:32+00:00,Yes https://t.co/y1erz1tO5s
elonmusk,1894327574865875249,2025-02-25 10:04:23+00:00,"RT @nima_owji: This is why X Premium+ is the best deal on the internet!

It comes with SuperGrok too! https://t.co/3sLnDLcBx6"
elonmusk,1894326863134429430,2025-02-25 10:01:33+00:00,@katierosemiller 💯
elonmusk,1894326057857421718,2025-02-25 09:58:21+00:00,@visegrad24 Hold an election
EricTopol,1894153492643577876,2025-02-24 22:32:38+00:00,"A key biomarker for Alzheimer’s disease—p-tau181—was favorably affected by exercise in healthy older adults, over a 3-year follow -up period https://t.co/YCwdgWUWTG https://t.co/ZAr1Di2nyh"
EricTopol,1894139154063130754,2025-02-24 21:35:40+00:00,"How fast is your brain aging?
Another noninvasive means of quantifying besides an organ clock, this one using MRI and A.I., and aligns with cognitively normal (CN) or extent of cognitively impaired (CI)
https://t.co/en91jCbiQ4 https://t.co/avswF21qsX"
EricTopol,1894061793086935268,2025-02-24 16:28:16+00:00,"Refining our understanding of epigenetic clocks and their representation of biological age of cells, tissue, and people
https://t.co/fhSyHMTlWI"
