username,tweet_id,created_at,text
elonmusk,1889057100287860928,2025-02-10 21:01:24+00:00,Noted @DOGE https://t.co/1ESsa8mfbn
elonmusk,1889056634951102594,2025-02-10 20:59:33+00:00,Can you believe they were spending your tax dollars on this 💩?? https://t.co/m7HJAZ5Bv4
elonmusk,1889056167856632115,2025-02-10 20:57:42+00:00,@GuntherEagleman 💯
elonmusk,1889056125183545752,2025-02-10 20:57:31+00:00,@DefiyantlyFree 🤨
sama,1889059531625464090,2025-02-10 21:11:04+00:00,no thank you but we will buy twitter for $9.74 billion if you want
sama,1888772188758593651,2025-02-10 02:09:16+00:00,"an ode to the history of technology, and human potential: https://t.co/VMXSqKVyv8"
sama,1888703820596977684,2025-02-09 21:37:35+00:00,"man, still a long way to go to run down google 🥺 https://t.co/MdD3as1lIU"
sama,1888702632509735199,2025-02-09 21:32:52+00:00,"@xprunie also our ad, it’s really good"
sama,1888702584690561533,2025-02-09 21:32:41+00:00,@xprunie chiefs
jeffBezos,1881532212530856378,2025-01-21 02:40:11+00:00,"The peaceful transfer of power is a hallmark of America, and it’s been an honor to witness it up close. Congratulations to President @realDonaldTrump and Vice President @JDVance. Excited to collaborate on accelerating innovation and supercharging the American economy. https://t.co/u7sqLlXRUj"
jeffBezos,1881131658331759053,2025-01-20 00:08:31+00:00,So cool and what incredible effort. Amazing. https://t.co/iqW4bmBFtu
jeffBezos,1880820425061773331,2025-01-19 03:31:47+00:00,@rookisaacman @michaelgwaltz 🫡
jeffBezos,1880643756715864522,2025-01-18 15:49:46+00:00,@Truthful_ast Beautiful caption
jeffBezos,1880381448458498524,2025-01-17 22:27:27+00:00,https://t.co/5udPtIuMhX
BillGates,1854611277307686982,2024-11-07 19:46:00+00:00,Congratulations to President Trump and VP-elect Vance. America is at its strongest when we use ingenuity and innovation to improve lives here in the U.S. and around the world. I hope we can work together now to build a brighter future for everyone.
BillGates,1830689663474110466,2024-09-02 19:30:02+00:00,"Thank you @AbiyAhmedAli for your warm welcome during my visit to Ethiopia. I’m inspired by our insightful discussions on Ethiopia’s development progress, and I’m excited by the opportunity to continue supporting our partners to track and accelerate progress in health, agriculture… https://t.co/jAMMcmoWch https://t.co/t0scOQa8po"
BillGates,1821363146562609270,2024-08-08 01:49:48+00:00,Aidan’s work to end polio saved countless lives and touched even more. His optimism and commitment to helping others made him a leader in the field—and a great friend to everyone who knew him. I'm sending my deepest condolences to his family and loved ones during this difficult… https://t.co/cOXxo3KOZU https://t.co/htROLKsqKh
BillGates,1816915492717879368,2024-07-26 19:16:24+00:00,"Thanks to incredible work by Indian experts, a study conducted on the Immediate Kangaroo Mother Care (IKMC) method in India, reveals some amazing findings about saving newborn lives. Such innovations have the potential to save countless lives globally. @narendramodi @JPNadda https://t.co/vyXkssz6YS"
BillGates,1806536643610034564,2024-06-28 03:54:34+00:00,I'm glad you could join us at the @Breakthrough Energy Summit! #BESummit24 https://t.co/j8BFcroEur
realDonaldTrump,1888725523393904876,2025-02-09 23:03:50+00:00,https://t.co/M1HzBZKrnA
realDonaldTrump,1888714144435851295,2025-02-09 22:18:37+00:00,https://t.co/KyCbNARsA9
realDonaldTrump,1887916067491574108,2025-02-07 17:27:20+00:00,https://t.co/fT2wFwfU0A
realDonaldTrump,1887916006523166886,2025-02-07 17:27:06+00:00,https://t.co/6MGaxjbHUz
realDonaldTrump,1887635430385885279,2025-02-06 22:52:11+00:00,https://t.co/0DvI2cPDBo
